time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
29500,2023-04-01 05:13:15,35.8244877124373,14.4415486945154,0,Available with any HD 360 subscription,Available with any HD 360 subscription,267.68439931393,0.656168,0,0,0,14,5,0,267.68439931393,0,0,0,0,0,0,96, 3.6, 4.1,0,0,1024,1024,1024,1024,0,0,0,0,95.3,0,0,98,4.328,4.327,0,0,0,0,0,64.94,267.68439931393,0,41,Motors_Started,
29600,2023-04-01 05:13:15,35.8244877391006,14.4415486813673,0,,,267.68439931393,0.656168,0,0.0104768376056,0.0104768376056,14,5,0,267.68439931393,0,0,0.0104768376056,0,0,0,96, 3.5, 4.1,0,0,1024,1024,1024,1024,0,0,0,0,95.3,0,0,98,4.328,4.327,0,0,0,0,0,64.94,267.68439931393,0,41,Motors_Started,"Setting new Return-To-Home altitude to 15m (49 ft). Data Recorder File Index is 48. Setting new Maximum Flight Altitude to 35m (115 ft)"
29700,2023-04-01 05:13:15,35.8244878157799,14.441548672877,0,,,267.68439931393,0.328084,0,0.038244095712,0.038565946116,14,5,0,267.68439931393,0,0,0.038244095712,0,0,0,96, 3.5, 4.1,0,0,1024,1024,1024,1024,0,0,0,0,95.3,0,0,98,4.328,4.327,0,0,0,0,0,64.94,267.68439931393,0,41,Motors_Started,"Aircraft in Warning Zone (Class D Airspace). Fly with caution"
29800,2023-04-01 05:13:15,35.8244878728781,14.441548647877,0,,,267.68439931393,0.328084,0,0.060140749956,0.060671917952,14,5,0,267.68439931393,0,0,0.060140749956,0,0,0,96, 3.6, 4.1,0,0,1024,1024,1024,1024,0,0,0,0,95.3,0,0,98,4.328,4.327,0,0,0,0,0,64.94,267.68439931393,0,41,Motors_Started,
29900,2023-04-01 05:13:16,35.8244879387511,14.4415486066122,0,,,267.68439931393,0.328084,0,0.08656824424,0.08762795556,14,5,0,267.68439931393,0,0,0.08656824424,0,0,0,96, 3.5, 4.1,0,0,1024,1024,1024,1024,0,0,0,0,95.3,0,0,98,4.328,4.327,0,0,0,0,0,64.94,267.68439931393,0,41,Motors_Started,
30000,2023-04-01 05:13:16,35.8244880039393,14.441548526154,0,,,267.68439931393,0.328084,0,0.117438652052,0.121275922516,14,5,0,267.68439931393,0,0,0.117438652052,0,0,0,96, 3.6, 4.1,0,0,1024,1024,1024,1024,0,0,0,0,95.3,0,0,98,4.328,4.327,0,0,0,0,0,64.94,267.68439931393,0,41,Motors_Started,
30100,2023-04-01 05:13:16,35.8244881880516,14.4415482292533,0,,,267.68439931393,0.328084,0,0.221484915224,0.231849416868,14,5,0,267.68439931393,0,0,0.221484915224,0,0,0,96, 3.6, 4.1,0,0,1024,1024,1024,1024,0,0,0,0,95.3,0,0,98,4.328,4.327,0,0,0,0,0,64.94,267.68439931393,0,41,Motors_Started,
30200,2023-04-01 05:13:16,35.8244882208985,14.4415481419504,0,,,267.68439931393,0.328084,0,0.247254273004,0.260320874472,14,5,0,267.68439931393,0,0,0.247254273004,0,0,0,96, 3.5, 4.1,0,0,1024,1024,1024,1024,0,0,0,0,95.3,0,0,98,4.328,4.327,0,0,0,0,0,64.94,267.68439931393,0,41,Motors_Started,
30300,2023-04-01 05:13:16,35.8244882336533,14.4415480657284,0,,,267.68439931393,0.328084,0,0.266013131872,0.283344169172,14,5,0,267.68439931393,0,0,0.266013131872,0,0,0,96, 3.5, 4.1,0,0,1024,1024,1024,1024,0,0,0,0,95.3,0,0,98,4.328,4.327,0,0,0,0,0,64.94,267.68439931393,0,41,Motors_Started,
30400,2023-04-01 05:13:16,35.8244882311854,14.4415480047061,0,,,267.68439931393,0.328084,0,0.278321531216,0.301418644816,14,5,0,267.68439931393,0,0,0.278321531216,0,0,0,96, 3.6, 4.1,0,0,1024,1024,1024,1024,0,0,0,0,95.3,0,0,98,4.328,4.327,0,0,0,0,0,64.94,267.68439931393,0,41,Motors_Started,
